gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
5469	6360108	6360264				
5470	6360289	6360961	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)		
5471	6361122	6362187	COG0191	Fructose/tagatose bisphosphate aldolase (Fba) (PDB:1B57)	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
5472	6362397	6362727	COG3895	Membrane-bound inhibitor of C-type lysozyme (MliC) (PDB:2F09)		
5473	6362787	6363009				
5474	6363041	6364205	COG0126	3-phosphoglycerate kinase (Pgk) (PDB:13PK)	K00927	phosphoglycerate kinase [EC:2.7.2.3]
5475	6364222	6365302	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	K03472	D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]
5476	6365455	6367453	COG0021	Transketolase (TktA) (PDB:1AY0)	K00615	transketolase [EC:2.2.1.1]
5477	6367711	6368707	COG0640!!!COG2226	DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	K15256	tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]
5478	6368725	6369916	COG0192	S-adenosylmethionine synthetase (MetK) (PDB:1FUG)	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]
5479	6370140	6371811	COG0272	NAD-dependent DNA ligase (Lig) (PDB:5TT5)	K01972	DNA ligase (NAD+) [EC:6.5.1.2]
5480	6371924	6372320				
5481	6372359	6372872	COG3909	Cytochrome c556 (CytC556) (PDB:1E83)		
5482	6372941	6374117	COG2821	Membrane-bound lytic murein transglycosylase (MltA) (PDB:2AE0)	K08304	membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
5483	6374160	6374544	COG3686	Uncharacterized conserved protein, MAPEG superfamily		
5484	6374579	6375413	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)		
5485	6375480	6375675				
5486	6375724	6376984	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter (NhaP) (PDB:4CZB)	K03316	monovalent cation:H+ antiporter, CPA1 family
5487	6376984	6377872	COG2116	Formate/nitrite transporter FocA, FNT family (FocA) (PDB:3KCU)	K21990	formate-nitrite transporter family protein
5488	6377945	6378350	COG1607	Acyl-CoA hydrolase (YciA) (PDB:5DM5)		
5489	6378677	6380087	COG0499	S-adenosylhomocysteine hydrolase (SAM1) (PDB:1A7A)	K01251	adenosylhomocysteinase [EC:3.13.2.1]
5490	6380276	6381122	COG0685	5,10-methylenetetrahydrofolate reductase (MetF) (PDB:1B5T)	K00297	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
5491	6381246	6382062	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030	polar amino acid transport system substrate-binding protein
5492	6382285	6384154	COG0513	Superfamily II DNA and RNA helicase (SrmB) (PDB:3RRM)	K11927	ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
5493	6384453	6385050	COG2353	Polyisoprenoid-binding periplasmic protein YceI (YceI) (PDB:1WUB) (PUBMED:15741337;20236316)		
5494	6385082	6385634	COG3038	Cytochrome b561 (CybB) (PDB:5OC0)	K12262	superoxide oxidase [EC:1.10.3.17]
5495	6385951	6387358	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
5496	6387441	6388161	COG1385	16S rRNA U1498 N3-methylase RsmE (RsmE) (PDB:1NXZ)	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
5497	6388177	6389080	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030, K10001	polar amino acid transport system substrate-binding protein, glutamate/aspartate transport system substrate-binding protein
5498	6389108	6389459	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family (RidA) (PDB:1J7H) (PUBMED:22094463;32205462)	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
5499	6389479	6390721	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	K00285	D-amino-acid dehydrogenase [EC:1.4.5.1]
5500	6390828	6391734	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
5501	6391809	6392427	COG1272	Predicted membrane channel-forming protein YqfA, hemolysin III family (YqfA) (PDB:3WXV)	K11068	hemolysin III
5502	6392582	6393500	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K13928	LysR family transcriptional regulator, malonate utilization transcriptional regulator
5503	6393609	6394374				
5504	6394375	6394792				
5505	6394859	6395795	COG0331	Malonyl CoA-acyl carrier protein transacylase (FabD) (PDB:1YXC)	K13935	malonate decarboxylase epsilon subunit [EC:2.3.1.39]
5506	6395791	6396418			K13934	phosphoribosyl-dephospho-CoA transferase [EC:2.7.7.66]
5507	6396414	6397218	COG0777	Acetyl-CoA carboxylase beta subunit (AccD) (PDB:2F9I)	K13933	malonate decarboxylase gamma subunit [EC:4.1.1.87]
5508	6397214	6398066	COG0777	Acetyl-CoA carboxylase beta subunit (AccD) (PDB:2F9I)	K13932	malonate decarboxylase beta subunit [EC:4.1.1.87]
5509	6398058	6398358	COG3052	Acyl-carrier protein (citrate lyase gamma subunit) (CitD)	K13931	malonate decarboxylase delta subunit
5510	6398357	6399233	COG1767	Triphosphoribosyl-dephospho-CoA synthetase (CitG) (PDB:3H9P)	K13930	triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
5511	6399232	6400909	COG4670	Acyl CoA:acetate/3-ketoacid CoA transferase (YdiF) (PDB:5VIT)	K13929	malonate decarboxylase alpha subunit [EC:2.3.1.187]
5512	6401030	6401663	COG3236	N-glycosidase YbiA/RibX (riboflavin biosynthesis, damage control), NADAR superfamily (RibX) (PDB:2B3W) (PUBMED:22399070;25431972)		
5513	6401735	6402185	COG0835	Chemotaxis signal transduction protein CheW (CheW) (PDB:2QDL)	K06598	chemosensory pili system protein ChpC
5514	6402177	6408087	COG0643!!!COG0784	Chemotaxis protein histidine kinase CheA (CheA) (PDB:1B3Q)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)	K06596	chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)
5515	6408111	6410175	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	K03406, K02660	methyl-accepting chemotaxis protein, twitching motility protein PilJ
5516	6410315	6410855	COG0835	Chemotaxis signal transduction protein CheW (CheW) (PDB:2QDL)	K02659	twitching motility protein PilI
5517	6410865	6411231	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	K02658	twitching motility two-component system response regulator PilH
5518	6411288	6411801	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	K02657	twitching motility two-component system response regulator PilG
5519	6411929	6412883	COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily (LysX) (PDB:1GLV)	K01920	glutathione synthase [EC:6.3.2.3]
5520	6412982	6413882	COG0810	Periplasmic protein TonB, links inner and outer membranes (TonB) (PDB:1IHR)	K03832	periplasmic protein TonB
5521	6413967	6414537	COG1678	Putative transcriptional regulator, AlgH/UPF0301 family (AlgH) (PDB:2AJ2)	K07735	putative transcriptional regulator
5522	6414536	6414974	COG0816	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor (YqgF) (PDB:1IV0) (PUBMED:25545592;26817626)	K07447	putative pre-16S rRNA nuclease [EC:3.1.-.-]
5523	6415089	6415596	COG2065	Pyrimidine operon attenuation protein PyrR/uracil phosphoribosyltransferase (PyrR) (PDB:1A3C)	K02825	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
5524	6415621	6416626	COG0540	Aspartate carbamoyltransferase, catalytic subunit (PyrB) (PDB:1NBE)	K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
5525	6416622	6417894	COG0044	Dihydroorotase or related cyclic amidohydrolase (AllB) (PDB:1J79)	K01465	dihydroorotase [EC:3.5.2.3]
5526	6418021	6418441	COG2314	Uncharacterized membrane protein YozV, TM2 domain, contains pTyr (TM2) (PUBMED:27148221)		
5527	6418691	6419315	COG0791	Cell wall-associated hydrolase, NlpC_P60 family (NlpC) (PDB:2EVR)	K19303	murein DD-endopeptidase [EC:3.4.-.-]
5528	6419393	6420428	COG2805	Type IV pilus assembly protein PilT, pilus retraction ATPase (PilT) (PDB:5FL3)	K02669	twitching motility protein PilT
5529	6420618	6421317	COG0325	Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family (YggS) (PDB:3SY1) (PUBMED:26872910)	K06997	PLP dependent protein
5530	6421351	6422170	COG0345	Pyrroline-5-carboxylate reductase (ProC) (PDB:3GT0) (PUBMED:22125496;26507882)	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
5531	6422180	6422771	COG0762	Cytochrome b6 maturation protein CCB3/Ycf19 and related maturases, YggT family (Ycf19)	K02221	YggT family protein
5532	6422785	6423079	COG1872	Uncharacterized conserved protein YggU, UPF0235/DUF167 family (YggU) (PDB:1JRM)	K09131	uncharacterized protein
5533	6423242	6424382	COG2021	Homoserine O-acetyltransferase (MET2) (PDB:2VAT)	K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
5534	6424389	6425010	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)		
5535	6425036	6425471				
5536	6425470	6426064	COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family (RdgB) (PDB:1B78)	K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]
5537	6426060	6427263	COG0635	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase (HemN) (PDB:1OLT)	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]
5538	6427272	6427596				
5539	6427683	6428232	COG1859	RNA:NAD 2'-phosphotransferase, TPT1/KptA family (KptA) (PDB:1WFX)	K07559	putative RNA 2'-phosphotransferase [EC:2.7.1.-]
5540	6428325	6429051	COG0220	tRNA G46 N7-methylase TrmB (TrmB) (PDB:1YZH) (PUBMED:19373903;16600901)	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
5541	6429060	6429855	COG2022	Thiazole synthase ThiGH, ThiG subunit (thiamin biosynthesis) (ThiG) (PDB:1TYG)	K03149	thiazole synthase [EC:2.8.1.10]
5542	6430018	6430252	COG2104	Sulfur carrier protein ThiS (thiamine biosynthesis) (ThiS) (PDB:1F0Z)	K03154	sulfur carrier protein
5543	6430289	6430670	COG2363	Uncharacterized membrane protein YgdD, TMEM256/DUF423 family (YgdD)		
5544	6430744	6431467	COG0744	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase (MrcB) (PDB:3FWL)	K03814	monofunctional glycosyltransferase [EC:2.4.1.129]
5545	6431613	6432468	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32) (RpoD) (PDB:1SIG)	K03089	RNA polymerase sigma-32 factor
5546	6432581	6433604	COG2177	Cell division protein FtsX (FtsX)	K09811	cell division transport system permease protein
5547	6433600	6434272	COG2884	Cell division ATPase FtsE (FtsE)	K09812	cell division transport system ATP-binding protein
5548	6434268	6435795	COG0552	Signal recognition particle GTPase FtsY (FtsY) (PDB:4AK9)	K03110	fused signal recognition particle receptor
5549	6435890	6435983				
5550	6436117	6437473	COG0612	Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)	K07263	zinc protease [EC:3.4.24.-]
5551	6437465	6438956	COG0612	Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)	K07263	zinc protease [EC:3.4.24.-]
5552	6438955	6439576	COG0742	16S rRNA G966 N2-methylase RsmD (RsmD) (PDB:2IFT)	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
5553	6439707	6440709	COG0429	Predicted hydrolase of the alpha/beta-hydrolase fold (YheT)	K07019	uncharacterized protein
5554	6440701	6441532	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	K07506	AraC family transcriptional regulator
5555	6441633	6442488	COG2897	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains (SseA) (PDB:1BOH)	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
5556	6442521	6443193	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
5557	6443337	6444768	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
5558	6444795	6445341				
5559	6445515	6447111	COG2303	Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)		
5560	6447226	6447706	COG0669	Phosphopantetheine adenylyltransferase (CoaD) (PDB:3F3M)	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
5561	6447840	6448092	COG1143	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)		
5562	6448155	6448968	COG0266	Formamidopyrimidine-DNA glycosylase (Nei) (PDB:1EE8)	K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
5563	6449001	6449868	COG1639	HD-like signal output (HDOD) domain, no enzymatic activity (HDOD) (PDB:1VQR)		
5564	6450041	6451238	COG1092	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI (RlmK) (PDB:2B78)	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
5565	6451655	6452735	COG0778	Nitroreductase (NfnB) (PDB:1F5V)		
5566	6452734	6453712				
5567	6453704	6454916	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K07552	MFS transporter, DHA1 family, multidrug resistance protein
5568	6454946	6455516				
5569	6455817	6457659	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase (IlvD) (PDB:2GP4)	K01687	dihydroxy-acid dehydratase [EC:4.2.1.9]
5570	6457872	6459096	COG2755	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK (TesA) (PDB:1BWP)		
5571	6459098	6460229	COG2845	Uncharacterized conserved protein, DUF459 domain	K09795	uncharacterized protein
5572	6460215	6461628	COG1696	D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily (DltB) (PDB:6BUG)	K19294	alginate O-acetyltransferase complex protein AlgI
5573	6461888	6462944	COG0560	Phosphoserine phosphatase (SerB) (PDB:3N28)	K21830	phosphorylcholine phosphatase
5574	6463186	6464578	COG1823	L-cystine transporter TcyP, sodium:dicarboxylate symporter family (TcyP)	K06956	uncharacterized protein
5575	6464635	6465148	COG0262	Dihydrofolate reductase (FolA) (PDB:1DDR)	K00287	dihydrofolate reductase [EC:1.5.1.3]
5576	6465244	6466624				
5577	6466616	6467996	COG0486	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE (MnmE)		
5578	6468035	6468587	COG4341	Predicted HD phosphohydrolase (PDB:4MLN)	K21196	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC:1.13.11.78]
5579	6468586	6469720	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)		
5580	6469779	6470805	COG1840	ABC-type Fe3+ transport system, periplasmic component (AfuA) (PDB:6IVY)	K02012	iron(III) transport system substrate-binding protein
5581	6470855	6472568	COG1178	ABC-type Fe3+ transport system, permease component (FbpB)	K02011	iron(III) transport system permease protein
5582	6472581	6473658	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component (PotA) (PDB:1Z47)	K02010	iron(III) transport system ATP-binding protein [EC:7.2.2.7]
5583	6473889	6474753	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K21703	LysR family transcriptional regulator, low CO2-responsive transcriptional regulator
5584	6474769	6477109	COG2217	Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ)	K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
5585	6477197	6477647	COG0789	DNA-binding transcriptional regulator, MerR family (SoxR) (PDB:2VZ4)		
5586	6477662	6478250	COG0671	Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)	K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]
5587	6478426	6479398	COG0207	Thymidylate synthase (ThyA) (PDB:1AN5)	K00560	thymidylate synthase [EC:2.1.1.45]
5588	6479444	6480254	COG0682	Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB)	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
5589	6480335	6481118	COG0730	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family (TauE) (PUBMED:21183667;22797525)	K07090	uncharacterized protein
5590	6481241	6481988	COG3332	Uncharacterized stress-responsive protein, TANGO2 (Transport and Golgi organisation 2) family, contains NRDE motif (Tango2) (PUBMED:26631869)		
5591	6482061	6484341	COG3605	Signal transduction protein containing GAF and PtsI domains (PtsP)	K08484	phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]
5592	6484363	6484843	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family (MutT) (PDB:4V14)	K08311	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
5593	6484987	6485644	COG0560	Phosphoserine phosphatase (SerB) (PDB:3N28)	K18697	phosphatidylglycerophosphatase C [EC:3.1.3.27]
5594	6485694	6486162	COG5528	Uncharacterized membrane protein		
5595	6486158	6487415	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains (YbjT) (PDB:5L3Z)		
5596	6487430	6487859	COG5528	Uncharacterized membrane protein		
5597	6487899	6489414	COG1171	Threonine deaminase (IlvA) (PDB:3IAU)	K01754	threonine dehydratase [EC:4.3.1.19]
5598	6489616	6490288	COG0120	Ribose 5-phosphate isomerase (RpiA) (PDB:1KS2)	K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6]
5599	6490357	6491263	COG3204	Uncharacterized Ca-binding beta-propeller protein YjiK (YjiK) (PDB:3QQZ)		
5600	6491364	6492291	COG3204	Uncharacterized Ca-binding beta-propeller protein YjiK (YjiK) (PDB:3QQZ)		
5601	6492456	6493122	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)		
5602	6493165	6494584	COG0277	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)	K00104	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
5603	6494764	6495994	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
5604	6496054	6496492				
5605	6496624	6497410	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030	polar amino acid transport system substrate-binding protein
5606	6497559	6498048	COG1683	Uncharacterized conserved protein YbbK, DUF523 family (YbbK)		
5607	6498050	6498683	COG3751	Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain (EGL9) (PDB:2G19)	K07394	SM-20-related protein
5608	6498844	6499597			K09924	uncharacterized protein
5609	6499731	6500670	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)		
5610	6500780	6501368				
5611	6501463	6503884	COG2366	Acyl-homoserine lactone (AHL) acylase PvdQ (PvdQ) (PDB:4HST)	K01434	penicillin G amidase [EC:3.5.1.11]
5612	6503974	6504943	COG4977	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain (GlxA)	K13633	AraC family transcriptional regulator, transcriptional activator FtrA
5613	6505148	6505790	COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y (RnaY) (PDB:3DTO) (PUBMED:19779461)		
5614	6505938	6506829	COG1177	ABC-type spermidine/putrescine transport system, permease component II (PotC)	K11070, K11074	spermidine/putrescine transport system permease protein, putrescine transport system permease protein
5615	6506825	6507746	COG1176	ABC-type spermidine/putrescine transport system, permease component I (PotB)	K02054, K11071, K11075	putative spermidine/putrescine transport system permease protein, spermidine/putrescine transport system permease protein, putrescine transport system permease protein
5616	6507742	6508885	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component (PotA) (PDB:1Z47)	K11076	putrescine transport system ATP-binding protein [EC:7.6.2.16]
5617	6508956	6510051	COG0687	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	K11073	putrescine transport system substrate-binding protein
5618	6510240	6511353	COG0687	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	K11073	putrescine transport system substrate-binding protein
5619	6511522	6512887	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	K12256	putrescine---pyruvate transaminase [EC:2.6.1.113]
5620	6512943	6514302	COG0174	Glutamine synthetase (GlnA) (PDB:1F1H)	K01915	glutamine synthetase [EC:6.3.1.2]
5621	6514340	6515123	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain (PuuD) (PDB:1L9X)	K07010	putative glutamine amidotransferase
5622	6515401	6516778	COG0174	Glutamine synthetase (GlnA) (PDB:1F1H)	K01915	glutamine synthetase [EC:6.3.1.2]
5623	6516918	6517557	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
5624	6517565	6518459	COG1072	Panthothenate kinase (CoaA) (PDB:2GA8)	K00867	type I pantothenate kinase [EC:2.7.1.33]
5625	6518600	6518816	COG3585	Molybdopterin-binding protein MopI (MopI) (PDB:1B9M)		
5626	6518850	6519657	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)	K15555	sulfonate transport system ATP-binding protein [EC:7.6.2.14]
5627	6519653	6520442	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)	K02050, K15554	NitT/TauT family transport system permease protein, sulfonate transport system permease protein
5628	6520451	6521600	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)	K04091	alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
5629	6521624	6522590	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component (TauA) (PDB:2X26)	K15553	sulfonate transport system substrate-binding protein
5630	6522679	6523273	COG0431	NAD(P)H-dependent FMN reductase (SsuE) (PDB:6DQI)	K00299	FMN reductase [EC:1.5.1.38]
5631	6523584	6524223	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin) (AhpC) (PDB:2RII)	K24158	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
5632	6524496	6525822				
5633	6526323	6527622	COG0548!!!COG1246	N-acetylglutamate kinase (ArgB) (PDB:3S6G)!!!N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)	K14682	amino-acid N-acetyltransferase [EC:2.3.1.1]
5634	6527758	6528916	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)	K01438	acetylornithine deacetylase [EC:3.5.1.16]
5635	6529074	6530442	COG3025	Inorganic triphosphatase YgiF, contains CYTH and CHAD domains (PPPi) (PDB:5A60) (PUBMED:22984449)	K18446	triphosphatase [EC:3.6.1.25]
5636	6530451	6530922	COG1522	DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)	K05800, K03719	Lrp/AsnC family transcriptional regulator, cysteine-sensing transcriptional activator, Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
5637	6531046	6531364				
5638	6531477	6533256	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB (PulE) (PDB:4KSR)	K02454	general secretion pathway protein E [EC:7.4.2.8]
5639	6533326	6534934	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	K03406	methyl-accepting chemotaxis protein
5640	6535059	6535980	COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily (HflC)		
5641	6535990	6536440	COG1585	Membrane protein implicated in regulation of membrane protease activity (YbbJ) (PDB:2EXD)	K07340	inner membrane protein
5642	6536510	6536828				
5643	6536900	6537572	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	K23777	TetR/AcrR family transcriptional regulator, regulator of cefoperazone and chloramphenicol sensitivity
5644	6537713	6538598			K23519	2,4-diacetylphloroglucinol hydrolase [EC:3.7.1.24]
5645	6538649	6539252	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
5646	6539719	6540802	COG3425	3-hydroxy-3-methylglutaryl CoA synthase (PksG) (PDB:1TVZ)	K22838	2-acetylphloroglucinol acetyltransferase [EC:2.3.1.272]
5647	6540831	6542028	COG0183	Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)	K22839	2-acetylphloroglucinol acetyltransferase [EC:2.3.1.272]
5648	6542040	6542481	COG1545	Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)	K22840, K07068	2-acetylphloroglucinol acetyltransferase [EC:2.3.1.272], uncharacterized protein
5649	6542689	6543739	COG3424	Predicted naringenin-chalcone synthase (BH0617) (PDB:1BI5)	K15431	phloroglucinol synthase [EC:2.3.1.253]
5650	6543848	6545114	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K08223	MFS transporter, FSR family, fosmidomycin resistance protein
5651	6545120	6546053	COG3802	Uncharacterized conserved protein GguC, FAA hydrolase family (GguC)		
5652	6546060	6548934	COG0403!!!COG1003	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain (GcvP1) (PDB:4LGL)!!!Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain (GcvP2) (PDB:4LGL)	K00281	glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]
5653	6549014	6550265	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase (WecE) (PDB:4PIW) (PUBMED:15271350)	K13010	perosamine synthetase [EC:2.6.1.102]
5654	6550324	6550708	COG0509	Glycine cleavage system protein H (lipoate-binding) (GcvH) (PDB:1DXM)	K02437	glycine cleavage system H protein
5655	6550760	6551843	COG0404	Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)	K00605	glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]
5656	6551997	6553614	COG1178	ABC-type Fe3+ transport system, permease component (FbpB)	K02011	iron(III) transport system permease protein
5657	6553854	6554856	COG1840	ABC-type Fe3+ transport system, periplasmic component (AfuA) (PDB:6IVY)	K02012	iron(III) transport system substrate-binding protein
